,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
237,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-10,1.0,BOX,Q336,30181,Pittsworth STP,2018-09,1000.0,41343,qld
242,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-08,1.0,BOX,Q336,30181,Pittsworth STP,2018-08,1000.0,41343,qld
253,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-07,0.809,BOX,Q336,28749,Mt Kynoch Water Treatment Plant,2018-07,809.0,41343,qld
254,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-07,1.0,BOX,Q336,28749,Mt Kynoch Water Treatment Plant,2018-07,1000.0,41343,qld
255,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-07,1.0,BOX,Q336,28749,Mt Kynoch Water Treatment Plant,2018-07,1000.0,41343,qld
264,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-06,2.0,BOX,Q336,30181,Pittsworth STP,2018-06,2000.0,41343,qld
272,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-05,1.0,BOX,Q336,30181,Pittsworth STP,2018-05,1000.0,41343,qld
278,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-04,1.0,BOX,Q336,30181,Pittsworth STP,2018-04,1000.0,41343,qld
286,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-04,1.0,BOX,Q336,30181,Pittsworth STP,2018-03,1000.0,41343,qld
296,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-02,2.0,BOX,Q336,30181,Pittsworth STP,2018-02,2000.0,41343,qld
304,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-01,2.0,BOX,Q336,30181,Pittsworth STP,2018-01,2000.0,41343,qld
314,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-11,2.0,BOX,Q336,30181,Pittsworth STP,2017-11,2000.0,41343,qld
320,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-11,2.0,BOX,Q336,30181,Pittsworth STP,2017-10,2000.0,41343,qld
328,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-10,2.0,TO,Q336,30181,Pittsworth STP,2017-09,1526.7175572519084,41343,qld
337,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-08,2.0,IBC,Q336,30181,Pittsworth STP,2017-08,2000.0,41343,qld
340,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-07,2.0,IBC,Q336,30181,Pittsworth STP,2017-07,2000.0,41343,qld
889,41365,Goondiwindi Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-03,2.0,TO,Q206,56757,Depot Goondiwindi,2014-03,1526.7175572519084,41365,qld
891,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-03,2.0,TO,Q206,52772,Clifton Water Pump Station,2014-03,1526.7175572519084,41343,qld
954,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-01,2.0,TO,Q206,52772,Clifton Water Pump Station,2014-01,1526.7175572519084,41343,qld
1001,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-11,2.62,TO,Q206,52772,Clifton Water Pump Station,2013-11,2000.0,41343,qld
1028,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-10,2.62,TO,Q206,52772,Clifton Water Pump Station,2013-10,2000.0,41343,qld
1073,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-08,2.62,TO,Q206,52772,Clifton Water Pump Station,2013-08,2000.0,41343,qld
1088,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-07,2.62,TO,Q206,52772,Clifton Water Pump Station,2013-07,2000.0,41343,qld
