,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
156,9036,USG Boral Building Products Pty Lim,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-10,13.1,TO,N214,9036,USG Boral Building Products Pty Lim,2019-06,10000.0,9036,nsw
157,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-09,0.31,TO,Q336,64770,Cracow Operations,2019-10,236.64122137404578,52553,nsw
158,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-09,1.0,TO,Q336,64770,Cracow Operations,2019-09,763.3587786259542,52553,nsw
161,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-09,1.0,BOX,Q336,64770,Cracow Operations,2019-09,1000.0,52553,nsw
162,9036,USG Boral Building Products Pty Lim,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-09,6.55,TO,N214,9036,USG Boral Building Products Pty Lim,2019-08,5000.0,9036,nsw
163,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-08,1.0,BOX,Q336,64770,Cracow Operations,2019-08,1000.0,52553,nsw
168,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-07,1.0,BOX,Q336,56998,Cracow Gold Mine c/- NQX,2019-07,1000.0,52553,nsw
170,9036,USG Boral Building Products Pty Lim,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-07,13.1,TO,N214,9036,USG Boral Building Products Pty Lim,2019-06,10000.0,9036,nsw
177,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-06,1.0,BOX,Q336,56998,Cracow Gold Mine c/- NQX,2019-06,1000.0,52553,nsw
180,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-05,1.0,BOX,Q336,56998,Cracow Gold Mine c/- NQX,2019-05,1000.0,52553,nsw
187,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-04,1.0,BOX,Q336,56998,Cracow Gold Mine c/- NQX,2019-04,1000.0,52553,nsw
190,9036,USG Boral Building Products Pty Lim,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-04,13.1,TO,N214,9036,USG Boral Building Products Pty Lim,2019-03,10000.0,9036,nsw
195,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-04,1.0,BOX,Q336,56998,Cracow Gold Mine c/- NQX,2019-04,1000.0,52553,nsw
