SH_Customer No,SH_Customer City,SH_Customer Post Code
0000005103,BRIBIE ISLAND,4507
0000005104,MOUNT OMMANEY,4074
0000005105,ROCKHAMPTON,4700
0000005106,Brendale,4500
0000005107,ROCKHAMPTON,4700
0000005108,CLEVELAND,4163
0000005110,Glenden,4743
0000005111,WEIPA,4874
0000005112,INNISFAIL,4860
0000005113,BLACKWATER,4717
0000005115,BRISBANE,4001
0000005116,GEEBUNG,4034
0000005117,WARWICK,4370
0000005118,CHARTERS TOWERS,4820
0000005119,Canungra,4275
0000005120,Southport,4215
0000005121,CARINA,4152
0000005122,EIGHT MILE PLAINS,4113
0000005123,Ernest,4214
0000005124,Deception Bay,4508
0000005125,Carole Park,4300
0000005126,NERANG,4211
0000005127,ROCKLEA,4106
0000005128,Morningside,4170
0000005129,RICHLANDS,4077
0000005130,GLADSTONE,4680
0000005131,CLEVELAND,4163
0000005132,GOODNA,4300
0000005133,HIGHLAND PARK,4211
0000005134,BRISBANE,4001
0000005135,CARINS,4870
0000005136,SUMNER PARK,4074
0000005137,MOLENDINAR,4214
0000005138,NORTH IPSWICH,4305
0000005139,STRATHPINE,4500
0000005140,STRATHPINE,4500
0000005141,NORTH MCLEAN,4280
0000005142,Kilcoy,4515
0000005143,MERMAID BEACH,4218
0000005144,Eagle Farm,4009
0000005145,AITKENVALE,4814
0000005146,ASHMORE,4212
0000005147,EAST BRISBANE,4169
0000005148,SORRENTO,4217
0000005149,BEAUDESERT,4285
0000005150,LOGAN,4127
0000005151,CURRUMBIN,4223
0000005152,ENOGERRA,4051
0000005153,PORT DOUGLAS,4871
0000005154,Bulimba,4171
0000005155,STONES CORNER,4120
0000005156,Kallangur,4503
0000005157,ACACIA RIDGE,4110
0000005158,BRISBANE,4000
0000005159,NOOSA JUNCTION,4567
0000005160,Tewantin,4565
0000005161,COTTONTREE,4129
0000005162,HELENSVALE,4210
0000005164,TOOWOOMBA WEST,4350
0000005165,MORVEN,4468
0000005166,POZIERES,4352
0000005167,Zillmere,4014
0000005168,WEST END,4101
0000005169,SUNNYBANK HILLS,4109
0000005170,BEENLEIGH,4207
0000005173,UNDERWOOD,4119
0000005174,MONTO,4630
0000005175,Ipswich,4305
0000005176,PINKENBA,4008
0000005177,RUNAWAY BAY,4216
0000005178,CLEVELAND,4163
0000005179,STH BRISBANE,4101
0000005180,NARANGBA,4504
0000005181,Toowoomba,4350
0000005182,ROCKHAMPTON,4700
0000005183,VICTORIA PT,4165
0000005184,ROBINA,4226
0000005185,SHERWOOD,4075
0000005186,SAMFORD,4520
0000005188,SEVERNLEA,4352
0000005189,WOOLLOONGABBA,4102
0000005190,SPRING HILL,4000
0000005191,NAMBOUR,4560
0000005192,MANLY WEST,4179
0000005193,GATTON,4343
0000005194,Morningside,4170
0000005195,BILOELA,4715
0000005196,LABRADOR,4210
0000005198,MUDGEERABA,4213
0000005199,SPRING HILL,4000
0000005200,SUNNYBANK,4109
0000005201,MERMAID BEACH,4218
0000005202,Morningside,4170
0000005204,MURGON,4605
0000005205,Eagle Farm,4009
0000005206,ROCKLEA,4106
0000005207,MARYBOROUGH,4650
0000005208,BRISBANE,4000
0000005209,STAFFORD,4053
0000005210,MOOLOOLABA,4557
0000005211,Eagle Farm,4009
0000005212,ROMA,4455
0000005213,BUNDABERG,4670
0000005214,"EAGLE FARM,",4009
0000005215,Ipswich,4305
0000005216,FERNY HILLS,4055
0000005217,BURPENGARY,4505
0000005218,Brendale,4500
0000005219,ACACIA RIDGE,4110
0000005220,GOOMERI,4601
0000005221,GREENSLOPES,4120
0000005222,ROBINA,4226
0000005223,ROBINA,4226
0000005224,ROBINA,4226
0000005225,WINDSOR,4030
0000005226,NERANG,4211
0000005227,Yatala,4207
0000005228,ASHMORE,4211
0000005230,NORTHGATE,4013
0000005231,NORTHGATE,4013
0000005232,NARANGBA,4504
0000005233,ROCKHAMPTON,4702
0000005234,VIRGINIA,4014
0000005235,Southport,4215
0000005236,CLAYFIELD,4011
0000005238,BRISBANE,4001
0000005239,CARRARA,4211
0000005240,ROCKHAMPTON,4700
0000005241,ROCKLEA,4106
0000005242,CLIFTON BEACH,4878
0000005243,SEVENTEEN MILE ROCKS,4073
0000005244,VIRGINIA,4014
0000005245,SLACKS CREEK,4127
0000005246,MACKAY,4740
0000005247,COORPAROO,4151
0000005248,DUARINGA,4702
0000005249,DUARINGA,4694
0000005250,DUARINGA,4694
0000005251,WONGALING BEACH,4852
0000005253,Toowoomba,4350
0000005254,ENOGGERA,4051
0000005255,WARANA,4575
0000005256,UNDERWOOD,4119
0000005257,Wacol,4076
0000005258,Arundel,4214
0000005259,BILOELA,4715
0000005260,EUMUNDI,4562
0000005261,NERANG,4211
0000005262,MILTON,4064
0000005263,QLD,4211
0000005264,Yeronga,4104
0000005265,Eagle Farm,4009
0000005266,BELMONT,4153
0000005267,EX-YEPPOON,4701
0000005268,NATHAN,4111
0000005270,HAMILTON ISLAND,4803
0000005271,Coopers Plains,4108
0000005272,MARYBOROUGH,4650
0000005273,Mansfield,4122
0000005274,NORTH IPSWICH,4305
