SH_Customer No,SH_Customer City,SH_Customer Post Code
0000003952,GEPPS CROSS,5094
0000003953,Glynde,5070
0000003954,CAVAN,5094
0000003955,ADELAIDE,5001
0000003956,GEPPS CROSS,5094
0000003957,WINGFIELD,5033
0000003958,ADELAIDE,5000
0000003959,CARRIETON,5432
0000003960,GILLMAN,5013
0000003961,ANGASTON,5353
0000003962,WALKERVILLE,5081
0000003963,SEACLIFF PARK,5085
0000003964,WALKLEY HEIGHTS,5085
0000003965,NORTHFIELD,5085
0000003966,FORT LARGS,5016
0000003967,GEPPS CROSS,5094
0000003968,ST MARYS,5042
0000003969,GILLMAN,5013
0000003970,WEST BEACH,5024
0000003971,LOXTON,5333
0000003973,CAMDEN PARK,5038
0000003974,WOODVILLE,5011
0000003975,Lonsdale,5160
0000003976,NOARLUNGA,5168
0000003977,CAVAN,5094
0000003978,MILE END,5031
0000003979,PORT ADELAIDE,5015
0000003980,RIDYLETON,5008
0000003981,CAVAN,5094
0000003982,CAVAN,5094
0000003983,NURIOOTPA,5355
0000003984,ADELAIDE,5000
0000003985,TEA TREE GULLY,5091
0000003986,BROMPTON,5008
0000003988,GILLMAN,5013
0000003989,EDWARDSTOWN,5039
0000003990,"RAAF BASE, EDINBURGH",5111
0000003991,EDINBURGH,5111
0000003992,EDINBURGH,5111
0000003993,Dry Creek,5094
0000003995,BORDERTOWN,5268
0000003997,REGENCY PARK,5010
0000003998,COOBERPEDY,5723
0000003999,RICHMOND,5033
0000004000,ST MARYS,5072
0000004001,RENMARK,5341
0000004002,ELIZABETH SOUTH,5112
0000004003,EDWARDSTOWN,5039
0000004004,ADELAIDE,5000
0000004005,MILLICENT,5280
0000004006,EDWARDSTOWN,5039
0000004007,ATHOL PARK,5014
0000004008,BALAKLAVA,5461
0000004009,OWEN,5460
0000004010,BALAKLAVA,5461
0000004011,HAMLEY,5401
0000004012,Para Hills West,5098
0000004013,ENFIELD,5085
0000004014,WUDINNA,5652
0000004016,ADELAIDE,5000
0000004017,PORT ADELAIDE,5015
0000004018,WUDINNA,5652
0000004019,CLARE,5453
0000004021,REGENCY PARK,5010
0000004022,Elizabeth,5112
0000004023,KILKENNY,5009
0000004024,Kapunda,5373
0000004025,KEITH,5267
0000004026,"KENSINGTON, NORWOOD",5068
0000004027,Melrose Park,5039
0000004028,Hindmarsh,5007
0000004029,NAIRNE,5252
0000004030,"591 Grand Junction Road,Gepps Cross",5013
0000004031,ADELAIDE,5001
0000004032,WINGFIELD,5013
0000004033,WINGFIELD,5013
0000004036,BERRI,5343
0000004037,REGENCY PARK,5010
0000004038,HENDON,5014
0000004039,BIRKENHEAD,5015
0000004040,PARAFIELD AIRPORT,5106
0000004041,REGENCY PARK,5010
0000004043,CAVAN,5094
0000004044,WINGFIELD,5033
0000004045,ALICE SPRINGS,0870
0000004046,CAVAN,5094
0000004047,MILE END,5031
0000004048,ATHOL PARK,5012
0000004049,COWANDILLA,5033
0000004050,REGENCY PARK,5010
0000004051,NETLEY,5037
0000004052,Elizabeth,5112
0000004053,KADINA,5554
0000004054,CAVAN,5000
0000004055,ELIZABETH WEST,5112
0000004056,SALISBURY,5108
0000004057,Hindmarsh,5007
0000004058,ELIZABETH SOUTH,5112
0000004059,Whyalla,5600
0000004060,REGENCY PARK,5013
0000004061,BALAKLAVA,5461
0000004062,KILBURN,5084
0000004063,BOOLEROO,5482
0000004064,GEPPS CROSS,5094
0000004065,MOOROOK,5332
0000004066,Osborne,5017
0000004067,GILMAN,5094
0000004068,GLANVILLE,5015
0000004069,Payneham,5070
0000004071,GILMAN,5013
0000004072,NORTH PLYMPTON,5037
0000004073,CAVAN,5094
0000004075,GEPP'S CROSS,5094
0000004076,Per N G Olley Transport,5094
0000004077,ST MARYS,5042
0000004078,PRICE,5570
0000004079,REGENCY PARK,5010
0000004080,WINGFIELD,5013
0000004081,COOBER PEDY,5723
0000004082,SALISBURY PLAIN,5109
0000004084,MURRAY BRIDGE,5253
0000004085,GEPPS CROSS,5094
0000004086,GOLDEN GROVE,5125
0000004087,GOLDEN GROVE,5125
0000004088,WOODVILLE NORTH,5012
0000004089,Melrose Park,5039
0000004090,SALISBURY EAST,5109
0000004091,SALISBURY,5108
0000004092,WOOMERA,5720
0000004093,WOODVILLE NORTH,5012
0000004094,MILE END,5031
0000004095,MILE END,5031
0000004096,VIRGINIA,5120
0000004097,GOOLWA,5214
0000004098,OTTOWAY,5013
0000004099,SALISBURY,5108
0000004100,SALISBURY,5108
0000004101,DUDLEY PK,5008
0000004102,Lonsdale,5160
0000004103,Newton,5074
0000004104,ADELAIDE,5000
0000004105,GEPPS CROSS,5094
0000004106,GEPPS CROSS,5094
0000004107,BEVERLEY,5009
0000004109,WINGFIELD,5013
0000004110,EDWARDSTOWN,5039
0000004112,KILKENNY,5009
0000004113,PORT AUGUSTA,5700
0000004114,EUNUNDA,5374
0000004116,NURIOOTPA,5355
0000004117,GEPPS CROSS,5094
0000004118,GREEN FIELDS,5107
0000004119,PARKSIDE,5063
0000004120,BURRA,5417
0000004121,BURRA,5015
0000004122,WINGFIELD,5013
0000004123,CAVAN,5094
0000004124,EDWARDSTOWN,5039
0000004125,KINGS PK,5034
0000004126,ST MORRIS,5068
0000004127,STEPNEY,5069
0000004128,LOXTON,5333
0000004129,GEPPS CROSS,5094
0000004130,WAIKERIE,5330
0000004131,GEPPS CROSS,5094
0000004132,WAIKERIE,5033
0000004133,GILMAN,5013
0000004135,REGENCY PARK,5010
