SH_Customer No,SH_Customer City,SH_Customer Post Code
0000022469,East Rockingham,6168
0000022475,SOUTH TWEED HEADS,2486
0000022516,LAVERTON NORTH,3026
0000022531,LAVERTON,3028
0000022579,ROCKLEA,4106
0000022626,ACACIA RIDGE,4110
0000022698,NARANGBA,4504
0000022743,Altona North,3025
0000022815,Mulgrave,3170
0000022818,GAYNDAH,4625
0000022832,RICHALNDS,4077
0000022840,NEWINGTON,2127
0000022844,MILDURA,3500
0000022869,QUEENS PARK,6106
0000022870,MURWILLUMBAH,2484
0000022928,ALBANY,6330
0000022965,Kawana,4575
0000023027,Kilsyth,3137
0000023039,MOOREBANK,2170
0000023077,NARANGBA,4504
0000023083,STUART,4811
0000023098,TIWI,0810
0000023103,NAMBOUR,4560
0000023115,SHERWOOD,4075
0000023130,Henderson,6166
0000023142,WEIPA,4874
0000023165,Landsdale,6065
0000023172,WULKURAKA,4305
0000023914,CLOVELLY PARK   SA,5042
0000024424,MERBEIN.   VIC,3505
0000024674,Crestmead,4132
0000024947,WETHERILL PARK,2164
0000025300,Crestmead,4123
0000026649,ROCKLEA,4106
0000027565,Middle Park,4074
0000027607,Southport,4215
0000027705,REVESBY,2212
0000027710,COLDSTREAM   VIC,3770
0000027736,Trafalgar,3824
0000027761,BOWEN,4942
0000027781,Moorabin,3189
0000027782,Willbriggie,2680
0000027794,CUNNAMULLA,4490
0000027816,OXLEY,4075
0000027858,Narrellan,2567
0000027859,Narrellan,2567
0000027942,"",""
0000028009,WINTON,4735
0000028024,HAMILTON HILL,6163
0000028034,ECHUCA   VIC,3564
0000028041,CAPELLA,4702
0000028063,Wacol,4076
0000028204,NORTH BUNDABERG,4670
0000028231,TINGALPA,4173
0000028377,NORLANE,3124
0000028441,SUNSHINE,3012
0000028687,Atherton,4883
0000028688,ROCKLEA,4106
0000028698,GORDONVALE,4865
0000028720,"",""
0000028726,WETHERILL PARK,2164
0000028730,"",""
0000028748,CAMPBELLFIELD,3061
0000028880,"",""
0000028887,VIRGINIA,4014
0000028986,Coolaroo,3048
0000029015,AMBERLEY,4106
0000029080,WEST PERTH.   WA,6005
0000029093,Port Kembla,2505
0000029094,Port Kembla,2505
0000029154,RESERVOIR    VIC,3073
0000029470,BAYSWATER NORTH,3153
0000029500,THOMASTOWN,3074
0000029521,ROCKHAMPTON,""
0000029551,CAMPBELLFIELD,3061
0000029605,CLAYTON,3168
0000029731,"",""
0000029776,LAVERTON,3028
0000029790,.,9999
0000029839,Mulgrave,3170
0000029842,CLAYTON   VIC,3168
0000029919,Mulgrave,3170
0000029974,Dandenong,3000
0000030007,Victoria,3212
0000030017,ALTONA,3018
0000030053,MELBOURNE,3000
0000030054,East Melbourne,3002
0000030055,East Melbourne,3002
0000030056,East Melbourne,3002
0000030057,East Melbourne,3002
0000030058,East Melbourne,3002
0000030059,MELBOURNE,3000
0000030061,MELBOURNE,3000
0000030221,Dandenong,3175
0000030235,Derrimut,3030
0000030275,EPPING,3076
0000030281,LAVERTON NORTH,3026
0000030292,LONG GULLY,3550
0000030394,HALLAM,3803
0000030404,NSW,2526
0000030422,WOODMAN POINT- RTF,6166
0000030545,LAVERTON NORTH,3026
0000030548,"PYMBLE,",2073
0000030594,FOOTSCRAY,3011
0000030668,SPOTSWOOD,3015
0000030801,SUNSHINE,3020
0000030867,"",""
0000030916,KEWDALE,6105
0000030936,SUNSHINE,3020
0000030939,BAYSWATER,3153
0000030946,North Fitzroy    VICTORIA,3068
0000031036,KEMIRA VALLEY   NSW,2526
0000031039,ROCKLEA,4106
0000031049,BROOKLYN,3012
0000031060,"",""
0000031086,LAVERTON,3028
0000031117,Kilsyth,3137
0000031229,"",3793
0000031269,ROCKLEA,4106
0000031271,YARRA JUNCTION,3797
0000031279,PETERBOROUGH   VIC,3270
0000031290,ENOGGERA,4051
0000031291,Dandenong,3175
0000031292,Horsham,3400
0000031301,BROOKLYN,3025
0000031339,Manilla,2346
0000031408,CHATSWOOD   NSW,2067
0000031409,CHATSWOOD   NSW,2067
0000031413,CAROLE PARK   QLD,4118
0000031421,"",""
0000031423,"",""
0000031461,PARKVILLE   VIC,3052
0000031469,CAMPBELLFIELD,3061
0000031472,"",""
0000031473,"",""
0000031602,"",""
0000031618,"",""
0000031632,LAVERTON NORTH,3026
0000032108,MULGRAVE   VIC,3170
0000032177,KEYSBOROUGH   VIC,3175
0000032318,PORT MELBOURNE   VIC,3207
0000032479,THORNTON   NSW,2322
0000032532,DANDENONG    VIC,3175
