SH_Customer No,SH_Customer City,SH_Customer Post Code
0000004559,BUNBURY,6230
0000004560,NORTH FREMANTLE,6156
0000004561,Kojonup,6395
0000004562,SOUTH GUILDFORD,6004
0000004563,MALAGA,6062
0000004564,KWINANA,6167
0000004565,KULIN,6365
0000004566,Welshpool,6106
0000004567,LAVERTON,6440
0000004568,LAVERTON,6106
0000004569,CANNINGVALE,6155
0000004570,BOORAGOON,6154
0000004571,BUNBURY,6230
0000004572,BUNBURY,6230
0000004573,MANJIMUP,6258
0000004574,MADDINGTON,6109
0000004575,EAST FREMANTLE,6160
0000004576,OSBORNE PARK,6017
0000004578,KWINANA,6167
0000004579,VICTORIA PARK,6100
0000004580,NEERABUP,6031
0000004581,WANNEROO,6025
0000004582,Meekatharra,6642
0000004583,SOUTH GUILDFORD,6055
0000004584,FORRESTFIELD,6058
0000004585,ARDROSS,6153
0000004586,MELVILLE/BOORAGOON,6154
0000004587,MERREDIN,6415
0000004588,KEWDALE,6105
0000004589,MIDDLE SWAN,6056
0000004590,Midvale,6056
0000004591,Midvale,6056
0000004592,WEBBERTON,6530
0000004593,KEWDALE,6105
0000004594,MORAWA,6623
0000004595,MORAWA SHIRE COUNCIL,6623
0000004596,MOUNT MAGNET,6639
0000004597,BAYSWATER,6053
0000004598,MUKINBUDIN,6479
0000004599,MUKINBUDIN,6106
0000004600,MUNDARING,6073
0000004601,MURDOCH,6150
0000004603,"O""CONNOR",6163
0000004604,KWINANA,6167
0000004605,MALAGA,6062
0000004606,SOUTH COOGEE,6166
0000004608,CHURCHLANDS,6018
0000004609,KWINANA,6167
0000004610,KWINANA,6167
0000004611,NUNGARIN,6490
0000004612,Canning Vale,6155
0000004613,BALCATTA,6021
0000004614,ROEBOURNE,6718
0000004615,Welshpool,6106
0000004616,COMO,6152
0000004617,PERENJORI,6620
0000004618,PERENJORI,6620
0000004619,BOORAGOON,6154
0000004620,COMO,6152
0000004621,O'CONNOR,6163
0000004622,MOUNT BARKER,6109
0000004623,SWIMMING POOL PLANTAGENET,6109
0000004624,NEDLANDS,6009
0000004625,WILLETON,6155
0000004626,Wangara,6025
0000004627,CANNINGVALE,6155
0000004628,BALCATTA,6021
0000004629,BELMONT,6104
0000004630,O'CONNOR,6163
0000004631,Welshpool,6106
0000004632,Welshpool,6106
0000004633,MALAGA,6062
0000004634,KEWDALE,6105
0000004635,PANNAWONICA,6716
0000004636,PANNAWONICA,6105
0000004637,ROCKINGHAM,6168
0000004638,Wangara,6065
0000004639,PERTH,6000
0000004640,Welshpool,6016
0000004641,HAMILTON HILL,6163
0000004642,PERTH,6000
0000004643,Australind,6230
0000004644,Australind,6230
0000004645,South Fremantle,6162
0000004646,PERTH,6000
0000004647,KEWDALE,6015
0000004648,TOM PRICE,6751
0000004649,TOM PRICE DEPOT,6751
0000004650,BRIDGETOWN,6255
0000004651,BRIDGETOWN,6255
0000004652,GOOMALLING,6460
0000004653,HARVEY,6220
0000004654,HARVEY,6106
0000004655,KARRATHA,6714
0000004656,KUNUNURRA,6743
0000004657,KUNUNURRA,6743
0000004658,WYNDHAM,6740
0000004659,SOUTHERN CROSS,6426
0000004660,Welshpool,6106
0000004661,BALCATTA,6021
0000004662,BELMONT,6104
0000004663,EAST VICTORIA PARK,6101
0000004664,South Fremantle,6162
0000004666,Welshpool,6106
0000004667,Welshpool,6106
0000004668,OCONNOR,6163
0000004669,BASSENDEAN,6054
0000004670,MALAGA,6062
0000004671,EAST PERTH,6000
0000004672,CANNINGVALE,6155
0000004673,Bibra Lake,6163
0000004674,SUBIACO,6008
0000004675,MOUNT DIMER,6427
0000004676,KEWDALE,6105
0000004677,KEWDALE,6105
0000004678,O'CONNOR,6163
0000004679,THREE SPRINGS,6519
0000004680,OSBORNE PARK,6017
0000004681,NARROGIN,6312
0000004682,Port Hedland,6721
0000004683,WEDGEFIELD,6721
0000004684,SOUTH HEDLAND,6721
0000004685,Port Hedland,6721
0000004686,TUART HILL,6060
0000004687,Crawley,6009
0000004688,EAST PERTH,6004
0000004689,NEWBURN,6104
0000004690,WAGIN,6315
0000004691,Canning Vale,6155
0000004692,BELLEVUE,6056
0000004693,KELMSCOTT,6111
0000004694,Broome,6725
0000004695,Jandakot,6164
0000004696,ALBANY,6330
0000004697,Jandakot,6164
0000004698,BUNBURY,6230
0000004699,JANDKOT,6164
0000004700,MANJIMUP,6230
0000004701,Northam,6401
0000004702,Jandakot,6164
0000004703,KWINANA,6167
0000004704,BAYSWATER,6053
0000004705,BASSENDEAN,6054
0000004706,BENTLEY,6102
0000004707,MALAGA,6090
0000004708,Wangara,6065
0000004709,"EAST ST GEORGE'S TCE, PERTH",6832
0000004710,GUILDFORD,6055
0000004711,KEWDALE,6106
0000004712,KEWDALE,6105
0000004713,COLLIE,6225
0000004714,WEST PERTH,6005
0000004715,SOUTH GUILDFORD,6055
0000004716,WONGAN HILLS,6603
0000004717,WIDEGUM VALLY,6162
0000004718,YORK,6302
0000004719,Welshpool,6106
0000004720,NEERABUP,6031
0000004721,CASUARINA,6167
0000004722,Welshpool,6106
0000004723,BALCATTA,6016
0000004724,KEWDALE,6105
0000004725,Welshpool,6106
0000004726,MALAGA,6090
0000004727,COLLIE,6225
0000004728,ALBANY,6330
0000004729,Welshpool,6106
0000004731,Welshpool,6106
0000004732,KEWDALE,6106
0000004733,MALAGA,6062
0000004734,Wangara,6065
0000004735,BEDFORDALE,6112
0000004736,East Rockingham,6168
0000004737,MALAGA,6062
0000004738,Welshpool,6106
0000004739,MALAGA,6066
0000004740,BOULDER,6432
0000004741,Welshpool,6106
0000004742,BAYSWATER,6053
0000004743,Jandakot,6164
0000004744,BELMONT,6104
0000004745,BUNBURY,6230
0000004746,BAYSWATER,6053
0000004747,Wangara,6065
0000004748,MALAGA,6062
0000004749,MALAGA,6062
0000004750,BALCATTA,6021
0000004751,BALCATTA,6021
0000004752,BELLEVUE,6056
0000004753,Welshpool,6106
0000004754,Welshpool,6106
0000004755,BASSENDEAN,6054
0000004756,Bibra Lake,6163
0000004757,Wangara,6065
0000004758,MADDINGTON,6109
0000004760,OCONNER,6163
0000004761,DUNSBOROUGH,6281
0000004762,KEWDALE,6105
0000004763,O'CONNER,6163
0000004764,Welshpool,6106
0000004765,O'CONNOR,6163
0000004766,Welshpool,6106
0000004767,BAYSWATER,6053
0000004768,KENWICK,6107
0000004769,KENWICK,6107
0000004770,Welshpool,6106
0000004771,South Fremantle,6162
0000004772,Wangara,6065
0000004773,KELMSCOTT,6111
0000004774,Katanning,6317
0000004775,Welshpool,6106
0000004776,O'CONNOR,6163
0000004777,SPEARWOOD,6163
0000004778,BAYSWATER,6053
0000004779,BASSENDEAN,6054
0000004780,OSBORNE PARK,6017
0000004781,MUNSTER,6166
0000004782,Canning Vale,6155
0000004784,Wangara,6065
0000004786,Naval Base,6165
0000004787,MANDURAH,6210
0000004788,Canning Vale,6155
0000004789,OSBORNE PARK,6017
0000004790,SPEARWOOD,6163
0000004791,BAYSWATER,6053
0000004792,MORLEY,6062
0000004793,FREMANTLE,6160
0000004794,KEWDALE,6105
0000004795,WEMBLEY,6014
0000004796,OSBORNE PARK,6017
0000004797,CASUARINA,6167
0000004798,Geraldton,6530
0000004799,Geraldton,6530
0000004800,Henderson,6166
0000004801,Bibra Lake,6163
0000004802,OCONNOR,6163
0000004803,Welshpool,6106
0000004804,Henderson,6166
0000004805,ALBANY,6330
0000004806,BOORAGOON,6154
0000004807,BOORAGOON,6154
0000004808,Busselton,6280
0000004809,Burswood,6100
0000004810,Burswood,6100
0000004811,Canning Vale,6155
0000004812,KEWDALE,6105
0000004813,BAYSWATER,6053
0000004814,BALCATTA,6021
0000004815,North Perth,6006
0000004816,BUNBURY,6230
0000004817,MADDINGTON,6109
0000004818,WESLHPOOL,6106
0000004819,QUEENS PARK,6107
0000004820,BAYSWATER,6053
0000004821,BEDFORD,6052
0000004822,KEWDALE,6105
0000004823,O'CONNER,6156
0000004824,Welshpool,6106
0000004825,MADDINGTON,6109
0000004826,MADDINGTON,6109
0000004827,ROUS HEAD NORTH FREMANTLE,6159
0000004828,Jandakot,6164
0000004829,Jandakot,6164
0000004830,Jandakot,6164
0000004831,WILLETON,6155
0000004832,BELMONT,6104
0000004833,Welshpool,6106
0000004834,Bibra Lake,6163
0000004835,Welshpool,6106
0000004836,Wangara,6065
0000004837,Canning Vale,6155
0000004838,NORTH FREMANTLE,6160
0000004839,MYAREE,6154
0000004840,O'CONNOR,6102
0000004841,Midvale,6056
0000004842,Henderson,6166
0000004843,Henderson,6166
0000004844,Bullcreek,6149
0000004845,O'CONNOR,6163
0000004846,O'CONNOR,6163
0000004847,OSBORNE PARK,6106
0000004848,OSBORNE PARK,6017
0000004849,Geraldton,6530
0000004850,Geraldton,6530
0000004851,KEWDALE,6105
0000004852,NORTH KALGOORLIE,6430
0000004853,BARDOC GOLD SITE,6105
0000004854,Welshpool,6106
0000004855,BELMONT,6104
0000004856,BOYANUP,6237
0000004857,KEWDALE,6105
0000004858,SOUTH COOGEE,6166
0000004859,Bibra Lake,6163
0000004860,Bibra Lake,6163
0000004861,GARDEN ISLAND,6168
0000004862,KWINANA,6167
0000004863,Jandakot,6164
0000004864,SPEARWOOD,6160
0000004865,MALAGA,6062
0000004866,O'CONNOR,6163
0000004867,MALAGA,6944
0000004868,KEWDALE,6105
0000004869,KEWDALE,6105
0000004870,NORTH FREMANTLE,6159
0000004872,BAYSWATER,6056
0000004874,Wangara,6065
0000004875,BAYSWATER,6053
0000004876,SPEARWOOD,6163
0000004877,BENTLEY,6102
0000004879,KEWDALE,6105
0000004880,Welshpool,6106
0000004881,REDCLIFFE,6104
0000004882,KUNUNURRA,6743
0000004883,CANNINGTON,6107
0000004884,ROCKINGHAM,6168
0000004885,MELVILLE,6156
0000004887,KWINANA,6167
0000004889,Jandakot,6164
0000004890,DARDANUP,6236
0000004891,Wangara,6065
0000004892,Welshpool,6106
0000004893,BELMONT,6104
0000004894,South Perth,6151
0000004896,MADDINGTON,6109
0000004897,Moora,6510
0000004898,Moora,6510
0000004899,HIGH WYCOMBE,6057
0000004900,Welshpool,6106
0000004901,Canning Vale,6155
0000004902,EAST PERTH,6000
0000004903,BELLEVUE,6056
0000004904,O'CONNOR,6163
0000004905,MYAREEWA,6154
0000004906,KEWDALE,6105
0000004907,O'CONNOR,6163
0000004908,BELMONT,6104
0000004909,OSBORNE PARK,6017
0000004910,Port Hedland,6721
0000006595,BENTLEY,6102
0000007753,Welshpool,6106
0000008141,NORTH FREMANTLE,6159
0000008175,KWINANA,6167
0000008201,Welshpool,6106
0000008204,MIDLAND,6056
0000008362,Welshpool,6106
0000008364,KALGOORLIE,6430
0000008366,West Kalgoorlie,6430
0000008372,PORT HEADLAND,6721
0000008377,LIMESTONE CREEK,6743
0000008782,Canning Vale,6155
0000008820,West Kalgoorlie,6430
0000008823,Welshpool,6106
0000009141,LEONORA,6438
0000009752,PERTH,6000
0000009753,Welshpool,6106
0000009754,Welshpool,6106
0000009755,OSBORNE PARK,6017
0000009756,EXMOUTH,6707
0000009757,BELMONT,6104
0000009758,BUNBURY,6230
0000009759,KEWDALE,6105
0000009760,KUNUNARRA,6743
0000009761,Welshpool,6106
0000009762,MALAGA,6062
0000009763,O'CONNOR,6163
0000009764,KULIN,6365
0000009765,KULIN,6365
0000009766,Moora,6510
0000009767,Moora,6510
0000009768,PERTH,6000
0000009769,BAYSWATER,6053
0000009770,ROEBOURNE,6718
0000009771,Welshpool,6106
0000009772,North Perth,6007
0000009773,North Perth,6006
0000009774,OSBORNE PARK,6017
0000009775,Bibra Lake,6163
0000009776,BASSENDEAN,6054
0000009777,SPEARWOOD,6163
0000009778,BAYSWATER,6053
0000009779,BOORAGOON,6154
0000009780,KEWDALE,6105
0000009781,KEWDALE,6105
0000009782,KEWDALE,6105
0000009783,KEWDALE,6105
0000009784,KARRATHA,6714
0000009785,KEWDALE,6105
0000009786,Welshpool,6106
0000009787,Welshpool,6106
0000009788,SOUTH GUILDFORD,6055
0000009789,BAYSWATER,6053
0000009790,BULLSBROOK,6084
0000009791,KEWDALE,6105
0000009792,Welshpool,6106
0000009793,GARDEN ISLAND,6168
0000009794,ROCKINGHAM,6168
0000009795,SWANBOURNE,6010
0000009796,SWANBOURNE,6010
