SH_Customer No,SH_Customer City,SH_Customer Post Code
0000000470,BROADMEADOWS,3047
0000000476,THOMASTOWN,3074
0000000478,Reservoir,3073
0000000480,Braeside,3195
0000000481,NORTH SUNSHINE,3020
0000000487,MOORABBIN,3189
0000000488,CHELTENHAM,3192
0000000491,MITCHAM,3132
0000000493,Dandenong,3175
0000000494,Dandenong,3175
0000000495,Mulgrave,3170
0000000498,Wodonga,3690
0000000499,RICHMOND,3121
0000000501,BLACK ROCK,3193
0000000502,MELBOURNE,3001
0000000504,MORDIALLOC,3195
0000000505,MELBOURNE,3001
0000000509,CHELTENHAM,3192
0000000512,FERNTREE GULLY,3156
0000000513,GLEN IRIS,3146
0000000514,CARLTON STH,3053
0000000515,RICHMOND SOUTH,3121
0000000520,ALTONA,3018
0000000525,SCORESBY,3179
0000000527,MELBOURNE,3004
0000000528,MELBOURNE,3001
0000000534,THOMASTOWN,3074
0000000535,JOLIMONT,3002
0000000536,PARKVILLE,3052
0000000537,COBURG,3058
0000000538,WEST FOOTSCRAY,3012
0000000540,Dandenong,3175
0000000544,Mulgrave,3170
0000000545,CLAYTON SOUTH,3169
0000000546,NEWPORT,3015
0000000547,WERRIBEE,3030
0000000548,FRANKSTON,3199
0000000551,CLAYTON,3168
0000000553,SURREY HILLS,3127
0000000554,ASCOT VALE,3032
0000000555,MELBOURNE,3000
0000000557,GEELONG,3220
0000000558,MELBOURNE,3001
0000000560,MOORABBIN,3189
0000000561,Kilsyth,3137
0000000562,NEW GISBORNE,3438
0000000563,MOONEE PONDS,3039
0000000564,Dandenong,3175
0000000565,PORT MELBOURNE,3207
0000000566,SUNSHINE,3020
0000000567,NOTTINGHILL,3168
0000000569,BORONIA,3155
0000000571,Heidelberg West,3081
0000000575,MELBOURNE,3004
0000000576,GLEN IRIS,3146
0000000577,Altona North,3025
0000000578,MOORABBIN,3189
0000000579,WEST FOOTSCRAY,3012
0000000580,PRESTON,3072
0000000583,East Melbourne,3001
0000000597,East Melbourne,3001
0000000621,East Melbourne,3001
0000000622,FLEMINGTON,3031
0000000627,FOOTSCRAY WEST,3012
0000000628,BORONIA,3155
0000000629,HAWTHORN EAST,3123
0000000633,ALTONA,3018
0000000636,FITZROY,3065
0000000637,MELBOURNE,3001
0000000638,CHELTENHAM,3192
0000000639,Tullamarine,3043
0000000640,PORT MELBOURNE,3207
0000000642,Dandenong,3175
0000000643,MELBOURNE,3000
0000000644,WEST FOOTSCRAY,3012
0000000645,FOOTSCRAY WEST,3012
0000000647,WERRIBEE,3030
0000000648,MELBOURNE,3001
0000000650,Northcote,3070
0000000652,CLAYTON,3168
0000000653,CLAYTON,3168
0000000654,HAWTHORN EAST,3123
0000000655,LAVERTON,3028
0000000656,HALLAM,3803
0000000657,MENTONE,3194
0000000658,FOOTSCRAY,3012
0000000660,EAST BENTLEIGH,3165
0000000662,THOMASTOWN,3074
0000000663,ALTONA,3018
0000000664,MOORABBIN,3189
0000000668,MELBOURNE,3001
0000000669,CLAYTON,3168
0000000670,HALLAM,3803
0000000675,BROOKLYN,3025
0000000676,CLAYTON,3168
0000000677,WEST FOOTSCRAY,3012
0000000678,EAST DONCASTER,3109
0000000680,STAWELL,3380
0000000681,Knoxfield,3180
0000000682,Dandenong,3175
0000000685,Knoxfield,3182
0000000686,FOOTSCRAY,3011
0000000688,DOCKLANDS,3008
0000000690,ASCOT VALE,3032
0000000693,PORT MELBOURNE,3207
0000000696,PARKVILLE,3052
0000000697,DEER PARK,3023
0000000700,Mt Waverley,3149
0000000701,MOORABBIN,3189
0000000702,MELBOURNE,3001
0000000703,OAKLEIGH SOUTH,3167
0000000704,FAWKNER,3060
0000000707,East Melbourne,3001
0000000708,LAVERTON,3028
0000000709,DEER PARK,3023
0000000710,DEER PARK,3023
0000000715,LAVERTON NORTH,3026
0000000717,East Melbourne,3001
0000000718,East Melbourne,3000
