,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Quantity in L,state of Sold-To Party
78,49004,Macmahon Underground Pty Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-02,1.0,DRM,N214,49059,South West Rail Link site compound,200.0,wa
79,49004,Macmahon Underground Pty Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-02,1.0,DRM,N214,49059,South West Rail Link site compound,200.0,wa
879,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-05,1.0,BOX,V305,55040,Nexus Freight,1000.0,wa
954,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-02,1.0,BOX,V305,55040,Nexus Freight,1000.0,wa
1147,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-05,1.0,BOX,V305,55040,Nexus Freight,1000.0,wa
1171,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-03,2.0,BOX,V305,55040,Nexus Freight,2000.0,wa
13303,10071,Water Corporation WA - Main account,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2016-10,25.0,TO,S106,19399,Bolivar WWTP (Bulk),19083.969465648854,wa
13304,10071,Water Corporation WA - Main account,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2016-10,25.0,TO,S106,19399,Bolivar WWTP (Bulk),19083.969465648854,wa
35855,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35860,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-03,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
35864,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35869,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35876,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35889,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-02,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
35905,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-02,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35906,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-01,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35932,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-12,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35933,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-12,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
35937,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-12,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35950,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-11,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35955,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-11,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35967,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-10,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
35975,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-10,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35982,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-10,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36006,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-09,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36017,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-09,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36020,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-08,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36024,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-08,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36040,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-07,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36044,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-07,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36052,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-07,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36067,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-06,7.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,7000.0,wa
36068,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-06,3.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,3000.0,wa
36076,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-05,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36085,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-05,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36089,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-05,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36105,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-04,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36106,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-04,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36109,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-04,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36130,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36131,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-03,4.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,4000.0,wa
36136,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-03,3.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,3000.0,wa
36144,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-02,2.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,2000.0,wa
36149,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-02,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36162,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-01,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36163,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-01,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36171,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-01,4.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,4000.0,wa
36173,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-01,4.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,4000.0,wa
36174,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-01,4.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,4000.0,wa
36184,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-12,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36189,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-12,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36192,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-12,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36208,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-11,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36209,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-11,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36228,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-10,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36229,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-10,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36230,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-10,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36249,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-09,3.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,3000.0,wa
36252,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-09,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36260,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-09,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36277,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-08,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36283,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-08,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36292,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-07,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36302,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-07,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36304,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-07,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36326,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-06,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36329,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-05,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36335,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-05,2.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,2000.0,wa
36336,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-05,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36340,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-05,3.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,3000.0,wa
36343,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-04,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36346,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-04,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36357,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36358,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-03,4.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,4000.0,wa
36364,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36371,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-03,3.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,3000.0,wa
36373,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-03,1.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,1000.0,wa
36374,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-03,1.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,1000.0,wa
36378,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-02,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36380,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-02,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36381,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-02,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36395,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-01,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36402,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-01,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36403,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-01,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36405,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-01,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36413,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-12,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36421,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-12,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36422,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-12,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36423,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-12,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36424,9776,Agent Sales & Services Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-11,1.0,BOX,W300,9776,Agent Sales & Services Pty Ltd,1000.0,wa
36437,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-11,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36444,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-10,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36448,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-10,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36452,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-10,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36458,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-10,7.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,7000.0,wa
36459,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-10,7.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,7000.0,wa
36470,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-09,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36473,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-09,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36477,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-08,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36483,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-08,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36487,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-08,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36499,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-08,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36500,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-08,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36516,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-07,3.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,3000.0,wa
36517,9776,Agent Sales & Services Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-07,2.0,BOX,W300,9776,Agent Sales & Services Pty Ltd,2000.0,wa
36520,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-07,7.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,7000.0,wa
36523,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-06,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36545,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-05,10.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,10000.0,wa
36548,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-05,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36565,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-04,3.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,3000.0,wa
36573,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-04,7.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,7000.0,wa
36574,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-04,7.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,7000.0,wa
36576,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-04,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36588,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-04,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36597,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-03,1.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,1000.0,wa
36604,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36622,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-02,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36644,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-02,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36645,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-01,10.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,10000.0,wa
36647,22193,Cape Mentelle Vineyards Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-01,1.0,BOX,W300,41474,Cape Mentelle Vineyards,1000.0,wa
36663,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-12,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36679,62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-11,10.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,10000.0,wa
36688,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-11,3.0,BOX,W300,59666,DENMARK WTP -W CORP,3000.0,wa
36705,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-11,9.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,9000.0,wa
36711,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-11,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36731,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-10,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36736,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-10,10.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,10000.0,wa
36757,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-09,10.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,10000.0,wa
36762,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-08,3.0,BOX,W300,59666,DENMARK WTP -W CORP,3000.0,wa
36764,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-08,2.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,2000.0,wa
36797,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-08,8.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,8000.0,wa
36798,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-08,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36804,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-07,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36817,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-06,10.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,10000.0,wa
36824,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-06,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36837,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-05,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36843,22193,Cape Mentelle Vineyards Ltd,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-05,1.0,BOX,W300,22193,Cape Mentelle Vineyards Ltd,1000.0,wa
36858,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-04,3.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,3000.0,wa
36866,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-04,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36867,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-04,17.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,17000.0,wa
36914,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-03,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36915,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-03,12.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,12000.0,wa
36941,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-02,6.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,6000.0,wa
36943,10071,Water Corporation WA - Main account,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-01,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
