,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,state of Sold-To Party
145005,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-03-25,1000.0,L,N106,5795,Australian Institute of Sport,act
145006,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-03-25,1000.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
145461,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-03-11,2500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
145693,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-03-04,600.0,L,N106,6086,Big Splash,act
145694,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-03-04,1500.0,L,N106,5795,Australian Institute of Sport,act
145696,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-03-04,1000.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
145697,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-03-04,4200.0,L,N106,5795,Australian Institute of Sport,act
145699,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-03-04,1000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
145967,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02-25,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
145968,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02-25,900.0,L,N106,6086,Big Splash,act
145970,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02-25,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
146233,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02-18,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
146237,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02-18,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
146511,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02-11,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
146516,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02-11,800.0,L,N106,6086,Big Splash,act
146519,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02-11,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
