,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,state of Sold-To Party
159186,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-30,4400.0,L,N106,5795,Australian Institute of Sport,act
159451,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-23,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
159452,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-23,2000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
159769,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-16,3000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
159772,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-16,1000.0,L,N106,6086,Big Splash,act
159774,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-16,3500.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
160358,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-02,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
160359,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-02,1000.0,L,N106,6086,Big Splash,act
160360,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-02,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
160576,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-12-24,1000.0,L,N106,6086,Big Splash,act
160584,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-12-24,4000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
160591,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-12-24,4000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
