,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,state of Sold-To Party
42,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2015-04-14,4.0,DRM,S303,57395,Birdwood WWTP,sa
43,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2015-03-17,3.0,DRM,S303,57395,Birdwood WWTP,sa
44,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2014-12-12,1.0,DRM,V305,57395,Birdwood WWTP,sa
45,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2014-12-09,1.0,DRM,S303,57395,Birdwood WWTP,sa
48,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2013-04-05,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,sa
49,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2013-02-13,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,sa
50,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2013-01-14,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,sa
51,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-12-17,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,sa
53,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-08-27,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,sa
54,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-07-13,4.0,DRM,V127,53149,Freight Specialists-Truganina,sa
55,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-07-11,4.0,DRM,V127,48791,Borders Express,sa
